innodb_buffer_pool_size,innodb_read_io_threads,innodb_write_io_threads,innodb_flush_log_at_trx_commit,innodb_adaptive_hash_index,sync_binlog,innodb_lru_scan_depth,innodb_buffer_pool_instances,innodb_change_buffer_max_size,innodb_io_capacity,innodb_log_file_size,table_open_cache,binlog_row_image,binlog_transaction_compression,tps,workload,num_table,table_size,num_client,slave_parallel_workers,rpl_semi_sync_slave_enabled,slave_parallel_type
3GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,189.70,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
3GB,2,2,1,ON,1,1024,1,25,100,512MB,4000,full,OFF,190.55,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
3GB,2,2,1,ON,1,1024,1,25,100,5GB,4000,full,OFF,188.18,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
4GB,2,2,1,ON,1,1024,1,25,100,4MB,4000,full,OFF,189.93,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
4GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,189.93,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
4GB,2,2,1,ON,1,1024,1,25,100,512MB,4000,full,OFF,188.78,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
4GB,2,2,1,ON,1,1024,1,25,100,5GB,4000,full,OFF,190.06,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
1GB,2,2,1,ON,1,1024,1,25,100,48MB,1,full,OFF,194.48,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
1GB,2,2,1,ON,1,1024,1,25,100,48MB,1000,full,OFF,190.19,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
1GB,2,2,1,ON,1,1024,1,25,100,48MB,2000,full,OFF,192.73,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,190.54,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
2GB,2,2,1,ON,1,1024,1,25,100,48MB,1,full,OFF,189.44,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
2GB,2,2,1,ON,1,1024,1,25,100,48MB,1000,full,OFF,189.60,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
2GB,2,2,1,ON,1,1024,1,25,100,48MB,2000,full,OFF,196.06,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
2GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,188.93,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
3GB,2,2,1,ON,1,1024,1,25,100,48MB,1,full,OFF,189.85,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
3GB,2,2,1,ON,1,1024,1,25,100,48MB,1000,full,OFF,190.25,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
3GB,2,2,1,ON,1,1024,1,25,100,48MB,2000,full,OFF,192.08,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
3GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,192.47,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
4GB,2,2,1,ON,1,1024,1,25,100,48MB,1,full,OFF,188.68,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
4GB,2,2,1,ON,1,1024,1,25,100,48MB,1000,full,OFF,190.50,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
4GB,2,2,1,ON,1,1024,1,25,100,48MB,2000,full,OFF,192.07,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
4GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,187.81,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,194.14,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,minimal,OFF,190.53,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,noblob,OFF,192.89,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
2GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,192.73,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
2GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,minimal,OFF,189.08,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
2GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,noblob,OFF,191.47,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
3GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,189.37,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
3GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,minimal,OFF,189.07,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
3GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,noblob,OFF,194.62,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
4GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,191.22,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
4GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,minimal,OFF,189.52,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
4GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,noblob,OFF,192.14,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
